,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
0,Integral Asymptotics for inhomogenous phase,Integral Asymptotics for inhomogenous phase,,"I'm looking for asymptotics for an integral of the form: $$F(n):=\int_{1/2-i\infty}^{1/2+i\infty} e^{\phi(n,z)}dz$$ where $\phi(n,z)=(n-n^3)\log(1-z)+n^2\log(1+z)-n\log(z)$. One can solve for the saddle points of $\phi$: $$z_{1,2}=\frac{1-n-n^2\pm \sqrt{1-6n+3n^2+2n^3+n^4}}{2(n^2-n)},$$ with taylor series: $$z_1=-1-\frac{2}{n}+O(1/n^2)$$ $$z_2=\frac{1}{n^2}+O(1/n^3).$$ It looks like $z_2$ is the maximum saddle, and $z_1$ the minimum. So to get asymptotics of $F(n)$, we need to deform the vertical line contour to the steepest-descent contour, passing through $z_2$. The steepest descent contour looks like this: I have some questions. First, I'm having trouble solving for the contour of steepest-descent through $z_2$, in other words $Im(\phi(n,z))=0$, passing through $z_2$. The equation is rather nasty, and probably transcendental. Is it sufficient to somehow approximate this contour to some order in $n$? The issue is that I'm thinking I need to parametrize the steepest descent contour with some running variable $t$, so that $\Gamma_t=z_2+f_n(t)$, where $f_n(0)=0$. Also, $z_2$ depends on $n$, and so I'm thinking I need a parametrization of $\Gamma_t$ that's somehow uniform in $n,t$ for $t$ near zero and $n$ large. Ultimately, it looks like I need to perform some sort of rescaling in the integral in terms of $z$. I was thinking of trying $u=z\cdot z_1$, so that the saddle point gets moved to $u=1$. But I'm still stuck in getting some kind of a uniform estimate on $\phi(n,z)$ near $z_1$, along the contour of steepest descent. Note that the integral has singularities at $z=\pm 1$ and $z=0$. In particular, $z_2\rightarrow 0$, so this further complicates taylor expansions of $\phi(n,z)$ near $z_2$. I've also noticed that $\phi^{(k)}(n,z_1)$ looks like a growing polynomial in $n$, e.g. $n^k$, so I can't seem to truncate taylor series for $\phi(n,z)$ around $z_1$ so that it's uniform in $n,z$. I've never seen literature on such inhomogenous steepest descent problems. A reference would be sincerely appreciated!","I'm looking for asymptotics for an integral of the form: $$F(n):=\int_{1/2-i\infty}^{1/2+i\infty} e^{\phi(n,z)}dz$$ where $\phi(n,z)=(n-n^3)\log(1-z)+n^2\log(1+z)-n\log(z)$. One can solve for the saddle points of $\phi$: $$z_{1,2}=\frac{1-n-n^2\pm \sqrt{1-6n+3n^2+2n^3+n^4}}{2(n^2-n)},$$ with taylor series: $$z_1=-1-\frac{2}{n}+O(1/n^2)$$ $$z_2=\frac{1}{n^2}+O(1/n^3).$$ It looks like $z_2$ is the maximum saddle, and $z_1$ the minimum. So to get asymptotics of $F(n)$, we need to deform the vertical line contour to the steepest-descent contour, passing through $z_2$. The steepest descent contour looks like this: I have some questions. First, I'm having trouble solving for the contour of steepest-descent through $z_2$, in other words $Im(\phi(n,z))=0$, passing through $z_2$. The equation is rather nasty, and probably transcendental. Is it sufficient to somehow approximate this contour to some order in $n$? The issue is that I'm thinking I need to parametrize the steepest descent contour with some running variable $t$, so that $\Gamma_t=z_2+f_n(t)$, where $f_n(0)=0$. Also, $z_2$ depends on $n$, and so I'm thinking I need a parametrization of $\Gamma_t$ that's somehow uniform in $n,t$ for $t$ near zero and $n$ large. Ultimately, it looks like I need to perform some sort of rescaling in the integral in terms of $z$. I was thinking of trying $u=z\cdot z_1$, so that the saddle point gets moved to $u=1$. But I'm still stuck in getting some kind of a uniform estimate on $\phi(n,z)$ near $z_1$, along the contour of steepest descent. Note that the integral has singularities at $z=\pm 1$ and $z=0$. In particular, $z_2\rightarrow 0$, so this further complicates taylor expansions of $\phi(n,z)$ near $z_2$. I've also noticed that $\phi^{(k)}(n,z_1)$ looks like a growing polynomial in $n$, e.g. $n^k$, so I can't seem to truncate taylor series for $\phi(n,z)$ around $z_1$ so that it's uniform in $n,z$. I've never seen literature on such inhomogenous steepest descent problems. A reference would be sincerely appreciated!",,"['calculus', 'real-analysis', 'complex-analysis', 'asymptotics']"
1,How can using a different definition for the integral be useful?,How can using a different definition for the integral be useful?,,"It's often said that the Lebesgue integral is superior to the Riemann integral because it satisfies nicer properties, for instance things like $$\lim_{n\to\infty} \int f_n = \int \lim_{n\to\infty} f_n$$ But if in the course of a problem we're blocked by the fact that our (Riemann) integrals aren't satsifying some mathematical property, how could it possibly solve our problem to change the definition of the integral ? The original problem statement, after all, was formulated for Riemann integrals, so by changing the definition of the integral, we're surely addressing a different problem . I realize the Lebesgue and Riemann definitions agree when they're both defined, but that's just the thing - the cases in which the Lebesgue integral is useful are precisely those cases in which the Riemann integral isn't defined. Imagine I was doing algebra, investigating some particular ring, and I was bothered by the fact that the ring wasn't principal. I wouldn't be able to get out of that trouble by simply changing the definition of ""principal"". Otherwise I may as well just say ""by definition, all rings are Jack Principal, so my ring is principal"". What the question really boils down to is: Why does changing the definition of an integral not change the nature of the problem so much as to make any conclusions irrelevant to the original problem? Maybe the best kind of answer to this question would be an example of a problem which is satisfactorily solved by changing the definition of the integral, but I'm open to any explanations you feel address this confusion.","It's often said that the Lebesgue integral is superior to the Riemann integral because it satisfies nicer properties, for instance things like $$\lim_{n\to\infty} \int f_n = \int \lim_{n\to\infty} f_n$$ But if in the course of a problem we're blocked by the fact that our (Riemann) integrals aren't satsifying some mathematical property, how could it possibly solve our problem to change the definition of the integral ? The original problem statement, after all, was formulated for Riemann integrals, so by changing the definition of the integral, we're surely addressing a different problem . I realize the Lebesgue and Riemann definitions agree when they're both defined, but that's just the thing - the cases in which the Lebesgue integral is useful are precisely those cases in which the Riemann integral isn't defined. Imagine I was doing algebra, investigating some particular ring, and I was bothered by the fact that the ring wasn't principal. I wouldn't be able to get out of that trouble by simply changing the definition of ""principal"". Otherwise I may as well just say ""by definition, all rings are Jack Principal, so my ring is principal"". What the question really boils down to is: Why does changing the definition of an integral not change the nature of the problem so much as to make any conclusions irrelevant to the original problem? Maybe the best kind of answer to this question would be an example of a problem which is satisfactorily solved by changing the definition of the integral, but I'm open to any explanations you feel address this confusion.",,"['real-analysis', 'integration', 'soft-question', 'lebesgue-integral']"
2,"Question 2.25 on Folland, Real Analysis","Question 2.25 on Folland, Real Analysis",,"I'm trying to solve the exercises from Real Analysis - Moderns Techniques and Their applications by Folland and I have questios about the exercise 2.25 b). The statement: Let $f(x) = x^{-1/2}$ if $0<x<1$ and f(x)=0 otherwise. Let ${r_n}$ be and enumeration of the rationals, and set $g(x) = \sum_{n=1}^\infty 2^{-n} f(x-r_n)$. Then g is discontinuous at every point and unbounded on every interval, and it remains so after any modification on a Lebesgue null set. It's proved before (item a) that $g$ is finite a.e.. If $g(x)<+\infty$, it's not so difficult to prove that $g$ is discontinuous at $x$ (there is a solution here: http://www.math.mcgill.ca/spicard/folland2.pdf ) but I can't prove the same when $g(x)=+\infty$. I'm assuming that I have to see $g$ as a function $g:\mathbb R \longrightarrow [0,+\infty]$ and use the usual topology that Folland put in this set. So, if I'm interpreting the question correctly, how can I prove that $g$ is discontinuous in a point $x$ such that $g(x)=+\infty$? The prove made in previously case doesn't help, because it shows that $g(x)$ can assume high values.","I'm trying to solve the exercises from Real Analysis - Moderns Techniques and Their applications by Folland and I have questios about the exercise 2.25 b). The statement: Let $f(x) = x^{-1/2}$ if $0<x<1$ and f(x)=0 otherwise. Let ${r_n}$ be and enumeration of the rationals, and set $g(x) = \sum_{n=1}^\infty 2^{-n} f(x-r_n)$. Then g is discontinuous at every point and unbounded on every interval, and it remains so after any modification on a Lebesgue null set. It's proved before (item a) that $g$ is finite a.e.. If $g(x)<+\infty$, it's not so difficult to prove that $g$ is discontinuous at $x$ (there is a solution here: http://www.math.mcgill.ca/spicard/folland2.pdf ) but I can't prove the same when $g(x)=+\infty$. I'm assuming that I have to see $g$ as a function $g:\mathbb R \longrightarrow [0,+\infty]$ and use the usual topology that Folland put in this set. So, if I'm interpreting the question correctly, how can I prove that $g$ is discontinuous in a point $x$ such that $g(x)=+\infty$? The prove made in previously case doesn't help, because it shows that $g(x)$ can assume high values.",,['real-analysis']
3,Find all continuous functions $f:\mathbb R\to\mathbb R$ such that $f(x)^2-2\big\lfloor2|f(2x)|\big\rfloor f(x)+\big\lfloor{4f(2x)^2-1}\big\rfloor=0$.,Find all continuous functions  such that .,f:\mathbb R\to\mathbb R f(x)^2-2\big\lfloor2|f(2x)|\big\rfloor f(x)+\big\lfloor{4f(2x)^2-1}\big\rfloor=0,"Find all continuous functions $f:\mathbb{R} \to \mathbb{R}$ such that $$f(x)^2 - 2\Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor f(x) + \Bigl\lfloor{4f(2x)^2-1}\Bigr\rfloor = 0\,\text.$$ Here is my attempt: $f(x)^2 - 2\Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor f(x) + \Bigl\lfloor{4f(2x)^2-1}\Bigr\rfloor = 0$ $\implies \biggl(f(x) - \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\biggr)^2 -1 = 0$ $\implies f(x) - \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor = \pm1\,$ . We have two cases: When: $ f(x) = 1+ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor$ so we can conclude these: since $\ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\geq 0 \ \& \ 1 \geq 1 $ we have $\ \ \forall x \in \mathbb{R}\ \ :\ f(x) \geq 1\,$ . from above note and $\ \left \lfloor{2f(2x)}\right \rfloor \in \mathbb{N} \ \ \& \ 1 \in \mathbb{N} $ we have $\ \ \forall x \in \mathbb{R}\ \ :\ f(x) \in \mathbb{N}\,$ . Similary, When: $ f(x) = -1+ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor$ so we can conclude these: since $\ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\geq 0 \ \& \ -1 \geq -1 $ we have $\ \ \forall x \in \mathbb{R}\ \ :\ f(x) \geq -1\,$ . from above note and $\ \left \lfloor{2f(2x)}\right \rfloor \in \mathbb{Z} \ \ \& \ 1 \in \mathbb{Z} $ we have $\ \ \forall x \in \mathbb{R}\ \ :\ f(x) \in \mathbb{Z}\,$ . Now if $f\ $ is continuous on $\ \mathbb{R}\ $ and $ \left \lfloor{f(x)}\right \rfloor$ is continuous on $(k, k+1)$ then $ \left \lfloor{2f(x)}\right \rfloor$ is continuous on $\left (\frac{k}{2}, \frac{k+1}{2} \right )$ . After that I don't know what to do. I hope I am on the right path.","Find all continuous functions such that Here is my attempt: . We have two cases: When: so we can conclude these: since we have . from above note and we have . Similary, When: so we can conclude these: since we have . from above note and we have . Now if is continuous on and is continuous on then is continuous on . After that I don't know what to do. I hope I am on the right path.","f:\mathbb{R} \to \mathbb{R} f(x)^2 - 2\Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor f(x) + \Bigl\lfloor{4f(2x)^2-1}\Bigr\rfloor = 0\,\text. f(x)^2 - 2\Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor f(x) + \Bigl\lfloor{4f(2x)^2-1}\Bigr\rfloor = 0 \implies \biggl(f(x) - \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\biggr)^2 -1 = 0 \implies f(x) - \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor = \pm1\,  f(x) = 1+ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor \ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\geq 0 \ \& \ 1 \geq 1  \ \ \forall x \in \mathbb{R}\ \ :\ f(x) \geq 1\, \ \left \lfloor{2f(2x)}\right \rfloor \in \mathbb{N} \ \ \& \ 1 \in \mathbb{N}  \ \ \forall x \in \mathbb{R}\ \ :\ f(x) \in \mathbb{N}\,  f(x) = -1+ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor \ \Bigl\lfloor\,2\,\bigl|f(2x)\bigr|\,\Bigr\rfloor\geq 0 \ \& \ -1 \geq -1  \ \ \forall x \in \mathbb{R}\ \ :\ f(x) \geq -1\, \ \left \lfloor{2f(2x)}\right \rfloor \in \mathbb{Z} \ \ \& \ 1 \in \mathbb{Z}  \ \ \forall x \in \mathbb{R}\ \ :\ f(x) \in \mathbb{Z}\, f\  \ \mathbb{R}\   \left \lfloor{f(x)}\right \rfloor (k, k+1)  \left \lfloor{2f(x)}\right \rfloor \left (\frac{k}{2}, \frac{k+1}{2} \right )","['real-analysis', 'functional-equations']"
4,"Continuous bijections between $\mathbb{R}^2$ and $\mathbb{R}^2 \setminus \{(0,0)\}$",Continuous bijections between  and,"\mathbb{R}^2 \mathbb{R}^2 \setminus \{(0,0)\}","It is well-known that $\mathbb{R}^2$ is not homeomorphic to $\mathbb{R}^2 \setminus \{(0,0)\}$. I have two questions. a) Does there exist a continuous bijection $f: \mathbb{R}^2 \to \mathbb{R}^2 \setminus \{(0,0)\}$ ? b) Does there exist a continuous bijection $g: \mathbb{R}^2 \setminus \{(0,0)\} \to \mathbb{R}^2$ ? Thank you very much for your answers in advance!","It is well-known that $\mathbb{R}^2$ is not homeomorphic to $\mathbb{R}^2 \setminus \{(0,0)\}$. I have two questions. a) Does there exist a continuous bijection $f: \mathbb{R}^2 \to \mathbb{R}^2 \setminus \{(0,0)\}$ ? b) Does there exist a continuous bijection $g: \mathbb{R}^2 \setminus \{(0,0)\} \to \mathbb{R}^2$ ? Thank you very much for your answers in advance!",,"['real-analysis', 'general-topology']"
5,"supremum of $\int |\int f(x)-f(y)\,dy| \,dx $.",supremum of .,"\int |\int f(x)-f(y)\,dy| \,dx ","Let $A_k$, $k\in \mathbb{N}$, be the family of $C^\infty([0,1])$ functions defined by $$ A_k=\{||f^{(j)}||_{\infty}\le 1,\;\;0\le j \le k \} $$ where $||\cdot||_{\infty}$ denotes the supremum norm over $[0,1]$ and $f^{(k)}$ is the k-th derivative of $f$.  We define $$ \sigma_k=\sup \left\{\int_0^1\left|\int_0^1f(x)-f(y)\,dy\right|\,dx ,\;\; f\in A_k\right\} $$ What is the value of $\sigma_k$? Edit: I think $\sigma_0=1$. I believe $\sigma_k= \frac{1}{4}$ for all $k>0$ (with $f=x$ the supremum is reached). It is not homework and is not related to my work. Just curious. I hope you find interesting too. (((The problem turned out to be uninteresting.))) Thanks.","Let $A_k$, $k\in \mathbb{N}$, be the family of $C^\infty([0,1])$ functions defined by $$ A_k=\{||f^{(j)}||_{\infty}\le 1,\;\;0\le j \le k \} $$ where $||\cdot||_{\infty}$ denotes the supremum norm over $[0,1]$ and $f^{(k)}$ is the k-th derivative of $f$.  We define $$ \sigma_k=\sup \left\{\int_0^1\left|\int_0^1f(x)-f(y)\,dy\right|\,dx ,\;\; f\in A_k\right\} $$ What is the value of $\sigma_k$? Edit: I think $\sigma_0=1$. I believe $\sigma_k= \frac{1}{4}$ for all $k>0$ (with $f=x$ the supremum is reached). It is not homework and is not related to my work. Just curious. I hope you find interesting too. (((The problem turned out to be uninteresting.))) Thanks.",,"['real-analysis', 'functional-analysis']"
6,Does every continuous everywhere but differentiable nowhere curve have an infinite length?,Does every continuous everywhere but differentiable nowhere curve have an infinite length?,,"Given a curve $\!\,\gamma : [a, b] \rightarrow ℝ^2$ that is continuous everywhere but differentiable nowhere (or almost nowhere), is its length: $$\text{length} (\gamma)=\sup \left\{ \sum_{i=1}^n d(\gamma(t_i),\gamma(t_{i-1})) : n \in \mathbb{N} \text{ and } a = t_0 < t_1 < \cdots < t_n = b \right\}.$$ always infinite?","Given a curve $\!\,\gamma : [a, b] \rightarrow ℝ^2$ that is continuous everywhere but differentiable nowhere (or almost nowhere), is its length: $$\text{length} (\gamma)=\sup \left\{ \sum_{i=1}^n d(\gamma(t_i),\gamma(t_{i-1})) : n \in \mathbb{N} \text{ and } a = t_0 < t_1 < \cdots < t_n = b \right\}.$$ always infinite?",,"['real-analysis', 'plane-curves']"
7,"The number of limit points of the set $\left\{\frac1p+\frac1q:p,q \in \Bbb N\right\}$ is which of the following:",The number of limit points of the set  is which of the following:,"\left\{\frac1p+\frac1q:p,q \in \Bbb N\right\}","I am stuck on the following problem: The number of limit points of the set $\left\{\frac1p+\frac1q:p,q \in \Bbb N\right\}$ is which of the following: $1$ $2$ Infinitely many Finitely many If I take $p$ to be fixed (say= $k$ ) and let $q \to \infty$ , then the limit point is given by $\frac{1}{k}$ . Since $k$ is an arbitrary natural number, the number of limit points is infinite. The same case can be continued after taking $q$ to be fixed (say= $k_1$ ). I think option 3 is the right choice. Am I on the right track? Can someone give further explanation?","I am stuck on the following problem: The number of limit points of the set is which of the following: Infinitely many Finitely many If I take to be fixed (say= ) and let , then the limit point is given by . Since is an arbitrary natural number, the number of limit points is infinite. The same case can be continued after taking to be fixed (say= ). I think option 3 is the right choice. Am I on the right track? Can someone give further explanation?","\left\{\frac1p+\frac1q:p,q \in \Bbb N\right\} 1 2 p k q \to \infty \frac{1}{k} k q k_1",['real-analysis']
8,"Prove that if $x$ is a non-zero rational number, then $\tan(x)$ is not a rational number and use this to prove that $\pi$ is not a rational number.","Prove that if  is a non-zero rational number, then  is not a rational number and use this to prove that  is not a rational number.",x \tan(x) \pi,"Prove that if $x$ is a non-zero rational number, then $\tan(x)$ is not a rational number and use this to prove that $\pi$ is not a rational number. I heard that this was proved two hundred years ago. I need this proof because I want to know the proof of why $\pi$ is not rational. I need the simplest proof! thanx !","Prove that if $x$ is a non-zero rational number, then $\tan(x)$ is not a rational number and use this to prove that $\pi$ is not a rational number. I heard that this was proved two hundred years ago. I need this proof because I want to know the proof of why $\pi$ is not rational. I need the simplest proof! thanx !",,"['real-analysis', 'algebra-precalculus', 'trigonometry', 'pi']"
9,"Convergence in probability, not almost surely","Convergence in probability, not almost surely",,"This is a classic example of convergence in probability, but not almost surely, but I am trying to rigorously prove it as opposed to ""arguing against"" the almost sure convergence.  $\DeclareMathOperator{\Pb}{\mathbf{P}}$ $\DeclareMathOperator{\Unif}{\mathsf{Uniform}}$ Definition 1 A sequence of random variables, $X_n$, is said to converge in probability if for any real number $\epsilon > 0$ $$ \lim_{n \to \infty} \Pb(|X_n - X | > \epsilon ) \to 0$$ Definition 2 A sequence of random variables $X_n$, is said to converge almost surely (a.s.) to a limit if $$\Pb(\lim_{n \to \infty} X_n = X) = 1$$ Recall also that a sequence of real numbers $a_n$ converges to a limit $a$ if for any $\epsilon > 0$ there exists a large enough value $N$ so that $|a_n - a| < \epsilon $ for all $n \geq N$. In other words, the difference between the sequence and the limit is uniformly small after some point in the sequence. The Question Let $U \sim \Unif(0,1)$. For $n = 2^k + m$ where $k \geq 0$ and $0 \leq m \leq 2^k - 1$ define the functions $f_n : [0, 1) \to \{0,1\}$ as follows $$ f_n(x) = \begin{cases} 1 & \text{if } {m \over 2^k} \leq x < {m +1 \over 2^k} \\ 0 & \text{o.w.} \end{cases} $$ What is the distribution of $f_n(U)$ for $n = 2^k + m$ for $k \geq 0$ and $ 0 \leq m \leq 2^k - 1$? Using the previous part, show that $X_n := f_n(U)$ converges to $0$ in probability. Show that for any fixed $x \in (0,1)$, $f_n(x) = 1$ for infinitely many values of $n$. Use this fact to reason why $X_n = f_n(U)$ does not converge to 0 almost surely. My Work $f_n(U)$ is equal to $1$ with probability ${1 \over 2^k}$ and $0$ otherwise. This takes care of the distribution, then to show that $X_n$ does not converge in probability, $$\Pb(|X_n - 0| > \epsilon) = \Pb(X_n = 1) = {1 \over 2^k}$$ As $n \to \infty$, for $k = \lfloor \log_2 n\rfloor $ we have that $k \to \infty$, hence $${1 \over 2^k} = \Pb(|X_n - 0| > \epsilon) \to 0$$ This is the part that I have often seen slightly glossed over. It is also the part that I am unclear about. I want to fix an $x$, and show that there is an $N$ so that $X_n$ for all $n \geq N$ is uniformly close to $0$. However, I'm really not sure how to do this. I tried working with binary expansions of my fixed $x$. Thanks for any help.","This is a classic example of convergence in probability, but not almost surely, but I am trying to rigorously prove it as opposed to ""arguing against"" the almost sure convergence.  $\DeclareMathOperator{\Pb}{\mathbf{P}}$ $\DeclareMathOperator{\Unif}{\mathsf{Uniform}}$ Definition 1 A sequence of random variables, $X_n$, is said to converge in probability if for any real number $\epsilon > 0$ $$ \lim_{n \to \infty} \Pb(|X_n - X | > \epsilon ) \to 0$$ Definition 2 A sequence of random variables $X_n$, is said to converge almost surely (a.s.) to a limit if $$\Pb(\lim_{n \to \infty} X_n = X) = 1$$ Recall also that a sequence of real numbers $a_n$ converges to a limit $a$ if for any $\epsilon > 0$ there exists a large enough value $N$ so that $|a_n - a| < \epsilon $ for all $n \geq N$. In other words, the difference between the sequence and the limit is uniformly small after some point in the sequence. The Question Let $U \sim \Unif(0,1)$. For $n = 2^k + m$ where $k \geq 0$ and $0 \leq m \leq 2^k - 1$ define the functions $f_n : [0, 1) \to \{0,1\}$ as follows $$ f_n(x) = \begin{cases} 1 & \text{if } {m \over 2^k} \leq x < {m +1 \over 2^k} \\ 0 & \text{o.w.} \end{cases} $$ What is the distribution of $f_n(U)$ for $n = 2^k + m$ for $k \geq 0$ and $ 0 \leq m \leq 2^k - 1$? Using the previous part, show that $X_n := f_n(U)$ converges to $0$ in probability. Show that for any fixed $x \in (0,1)$, $f_n(x) = 1$ for infinitely many values of $n$. Use this fact to reason why $X_n = f_n(U)$ does not converge to 0 almost surely. My Work $f_n(U)$ is equal to $1$ with probability ${1 \over 2^k}$ and $0$ otherwise. This takes care of the distribution, then to show that $X_n$ does not converge in probability, $$\Pb(|X_n - 0| > \epsilon) = \Pb(X_n = 1) = {1 \over 2^k}$$ As $n \to \infty$, for $k = \lfloor \log_2 n\rfloor $ we have that $k \to \infty$, hence $${1 \over 2^k} = \Pb(|X_n - 0| > \epsilon) \to 0$$ This is the part that I have often seen slightly glossed over. It is also the part that I am unclear about. I want to fix an $x$, and show that there is an $N$ so that $X_n$ for all $n \geq N$ is uniformly close to $0$. However, I'm really not sure how to do this. I tried working with binary expansions of my fixed $x$. Thanks for any help.",,"['real-analysis', 'probability-theory']"
