question_id,title,body,tags
2956443,Deducing the null space from column relations,"Let $A=\begin{bmatrix}
a_{1} & a_{2} & a_{3}
\end{bmatrix}$ and $3a_{1}+2a_{2}+a_{3}=0$ where $a_{i}$ are matrix columns. Find the nullspace of $A$ . So, my initial thought was that the nullspace is the span of the vector $\begin{bmatrix}
3\\ 
2\\ 
1
\end{bmatrix}$ , but I'm not quite sure.","['matrices', 'linear-algebra']"
2956506,Set of Elementary Real Numbers Without Elementary Combination,"Find a set of $n$ real numbers such that none can be created by combining the others with elementary operations ( $+, -, \times, /$ ). This question came up in my attempt to prove an $n$ dimensional version of the fundamental theorem of algebra; however, I am interested in the answer to this regardless of the relevance it has to the associated question. I have thought about this a bit, and so far my best guess is the square roots of the first $n$ primes. Clearly, this fulfills the above property on just multiplication, but I am not sure how to prove this for addition, and especially for a combination of the two. It would probably involve some very strong statements about sums of square roots, but I'm not sure how to proceed. Any help would be appreciated. (I'm also not sure how to tag this, as I don't know what branch of math questions like this belong to. If anyone could help there that'd be appreciated as well.)",['algebra-precalculus']
2956512,Piecewise function and differentiation quotient,"We have function $y = f(x) = |2x + 1|$ Can we simply say that $|2x + 1|' = 2$ ? No because if we use the chain rule then we get $\left(\left|2x+1\right|\right)'\:=\frac{2\left(2x+1\right)}{\left|2x+1\right|}$ Redefine the same function piecewise without using the absolute value. $$\left|2x+1\right|=
\begin{cases} 
      2x+1 & x \geq -\frac12 \\
      -2x-1 & x \leq -\frac12 
   \end{cases}$$ Calculate the differential quotient for each of the
corresponding regions. $f(x)=2x+1$ Differential quotient $$f'(x_0) = \lim_{x→x_0}
\frac{f(x) − f(x_0)}{x − x_0}.$$ $f'(x_0) = \lim_{x→x_0}
\frac{2x+1 − 2x_0-1}{x − x_0}=2$ $f(x)=-2x-1$ $f'(x_0) = \lim_{x→x_0}
\frac{-2x-1 + 2x_0+1}{x − x_0}=-2$ What happens at $x = −\frac12$ ? This is where I am confused. There is no x so that would mean that my
  answer is wrong isn't it?","['analysis', 'calculus', 'functional-analysis', 'derivatives', 'piecewise-continuity']"
2956559,In a Banach space $x_n\text{cos}(nt)+ y_n\text{sin}{nt}\rightarrow 0$ implies both sequences individually go to $0$.,"Let $X$ be a Banach space, and let $\{x_n\}$ , $\{y_n\}$ be two sequences in $X$ . Suppose $x_n\text{cos}(nt)+ y_n\text{sin}(nt)\rightarrow 0$ as $n \rightarrow \infty$ for all $t$ in a non degenerate interval. Show that $\{x_n\}$ and $\{y_n\}$ both go to $0$ . I'm trying to show that both the sequences go to $0$ along each subsequence or at least show that each subsequence has a further subsequence along which both go to $0$ . To do this, I thought of somehow choosing the further subsequence such that for some $t$ in the given interval, $e^{int}$ is quite close to $1$ along the further subsequence which should give me information about $\{x_n\}$ . However, irrational rotations on the circle equidistribute which makes me clueless as to how to achieve this.","['ergodic-theory', 'functional-analysis', 'dynamical-systems']"
2956562,"Showing $\operatorname{Cov}\left(\bar{X}_n,\frac{1}{n}\sum|X_i-\bar{X}_n|\right)=0$ for i.i.d standard normal $X_1,X_2,\ldots,X_n$","Show that for $X_1,X_2,\ldots,X_n$ i.i.d. standard normal, $$\operatorname{Cov}\left(\bar{X}_n,\frac{1}{n}\sum|X_i-\bar{X}_n|\right)=0$$ where $$\bar{X}_n = \frac{1}{n}\sum X_i$$ What I do first is to write $$\operatorname{Cov}\left(\bar{X}_n,\frac{1}{n}|X_i-\bar{X}_n|\right) = \frac{1}{n}E\left(\bar{X}_n \cdot\sum|X_i-\bar{X}_n|\right)-\frac{1}{n}E(\bar{X}_n)E\left(\sum|X_i-\bar{X}_n|\right)$$ Now, I now that the second part is zero, since $E(X_i)=0$ but then, I have no idea what to do with the absolute values in the first part. Any suggestions?","['expected-value', 'statistics', 'covariance', 'normal-distribution']"
2956578,How to solve $\sin^2 (2x) = 2 \sin (2x)$,I am not sure how to solve this: $$\sin^2 (2x) = 2 \sin (2x)$$ I thought I could rewrite it like this: $$4 \sin^2 (x) \cos^2 (x)  = 4 \sin (x) \cos (x)$$ and maybe like this as well: $$ \sin (x) \cos (x)  = 0$$ but I have no idea whether it is correct and how get to the solution .. thanks for help,['trigonometry']
2956595,Find the zeros of $f(z)=z^3-\sin^3z$,"I want to find the zeros of $f(z)$ , $$f(z)=z^3-\sin^3z$$ My attempt $f(z)=0$ $z^3-(z-z^3/3!+z^5/5!-\dots)^3=0$ $z^3-z^3(1-z^2/3!+z^4/5!-\dots)^3=0$ $z^3[1-(1-z^2/3!+z^4/5!-\dots)^3]=0$ So $z=0$ is a zero of order $3$ . I don't feel good about this answer. Please give me some hints if I am incorrect. Edit: What is the order of root $z=0$ ?","['complex-analysis', 'power-series', 'analytic-functions']"
2956615,Finding $\int^{\frac{\pi}{2}}_{0}\ln(\sin x)\cdot \sin xdx$,"Finding $\displaystyle \int^{\frac{\pi}{2}}_{0}\ln(\sin x)\cdot \sin xdx$ What I try:-> Integration by parts assuming $\displaystyle I = \int\ln(\sin x)\cdot \sin xdx = -\ln(\sin x)\cdot \cos x+\int\frac{\cos^2 x}{\sin x}dx$ $\displaystyle I = -\ln(\sin x)\cdot \cos x+\int\frac{1-\sin^2 x}{\sin x}dx$ $ = -\ln(\sin x)\cos x+\ln\bigg(\tan\frac{x}{2}\bigg)-\cos x$ $ \displaystyle \int^{\frac{\pi}{2}}_{0}\ln(\sin x)\cos xdx = \bigg[-\ln(\sin x)\cos x+\ln\bigg(\tan\frac{x}{2}\bigg)-\cos x\bigg]\bigg|^{\frac{\pi}{2}}_{0}=-\ln(0)+\ln(0)$ but answer is $\ln(2/e)$ could some explain me why I have got wrong answer,thanks also explain me How I solve it using double integral",['integration']
2956627,Show that $e^z$ is continuous on $\mathbb{C}$,"I know that $e^z$ is continuous on $\mathbb{R}$ , but how would I show this rigorously on $\mathbb{C}$ using the $\epsilon - \delta$ definition of continuity? I know how to begin: If $|z - z_0| < \delta$ then we want $|f(z) - f(z_0)| < \epsilon$ . To work backwards, I know we want to basically play around with $|f(z) - f(z_0)| = |e^z - e^{z_0}|$ and then pick $\delta$ to have some relationship with $\epsilon$ so that we get the inequality. However, I am having a hard time figuring out how to proceed with expanding $|e^z - e^{z_0}|$ in a way that gets me to a point where I can get $|z - z_0|$ to appear somewhere.","['complex-analysis', 'continuity', 'complex-numbers', 'epsilon-delta']"
2956636,A proof of Transfinite Induction,"This is my proof of Transfinite Induction by filling the gaps in my textbook. It would be great if someone help me verify if i correctly understand what is meant by the authors! Let $P(\alpha)$ is a property defined for all ordinals $\alpha$ . Suppose that $P(\alpha)$ is true for all $\alpha<\beta$ implies $P(\beta)$ is also true. Then $P(\alpha)$ is true for all ordinals $\alpha$ . My attempt: Assume the contrary that $P(\gamma)$ is not true for some ordinal $\gamma$ . Let $F:=\{\alpha \in\gamma\cup\{\gamma\}\mid P(\alpha) \text{ is not true}\}$ . It follows that $\gamma\in F$ and thus $F\neq\emptyset$ , and that $F$ is a set of ordinals and thus is well-ordered. Let $\beta=\min F$ . Then $\alpha\notin F$ for all $\alpha<\beta$ . This implies that $P(\alpha)$ is true for all $\alpha<\beta$ . By inductive hypothesis, $P(\beta)$ is also true and thus $\beta\notin F$ . This is a contradiction. Hence $P(\alpha)$ is true for all ordinals $\alpha$ .","['elementary-set-theory', 'ordinals', 'proof-verification']"
2956667,Can you determine a set of values from a set of sums?,"Consider the following problem: There is an vector $A$ (which you will not see) of $n$ positive integers. You are given the set of sums of the (contiguously indexed) subvectors of $A$ . For example, say $$A = (3,2,1,2)$$ The subvectors are $(3),(2),(1),(2), (3,2), (2,1), (1,2),(3,2,1), (2,1,2),(3,2,1,2)$ .
We would be given the sums $\{1, 2, 3, 5, 6, 8\}$ .  Let us call this set of sums $f(A)$ . Is it always possible to uniquely determine the set of integers in $A$ from $f(A)$ and $n$ ? The answer turns out to be no . I posted a followup to When does a set of sums uniquely determine a set of values? .",['combinatorics']
